,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
1568,MASTER,VYavvQhBStGbUGBGqH_T10B_XZRCpdeznq-qBnHO-QUxfKY,Ratzino,13,251,233,False,False,False,False,vSvEezwJtUC0SSXULHEyc4eA1NTW2ciLAQX9_zcLpZl4Xk4
1569,MASTER,kSKqXSYspTI52Smws-quH44p4EeHABOYpNd-THEPqLXEZAE,엌엌엌엌엌엌엌엌,0,205,189,False,False,False,False,EiuKZ07p7PpHccArMKqUKHPZQT0p_-E4bYi4UAhZ1bnLWLY
1570,MASTER,IJ5O5-T3JlDms4td4rpQDY-x35YbGwoZF272hMEBba71ByE,AII Bots,0,564,522,False,False,True,False,UkVNp7WHQIW4dHlFJHpqM4jNAPCtNNTzyKzzJ7wdmwITkng
1571,MASTER,oS8W4azyJsKY4XqZNmMlVzd6UvFhCiAal8Bw0hdN66VhDA,개인팟,222,1140,1162,True,False,False,False,dhnd84UDp4x0d5bf00CgQ1aQ1MkbPGBQAjjnTVQP78Mo
1572,MASTER,lRvPKORFiCACMQGyoDUQvOFhEFGP9PMaeWwQXOBILUHaO08,슈퍼 불곰,55,817,807,True,False,False,False,p1PD5VrZUiJ6XstWsTZHEMKExu97-qoEw6AvUeu_4OkMZYupRMAtJASX
1573,MASTER,BZamABF-2LEti59a9pdoRCV33nU1lFILL1HE7uMm21s445Q,룰루곤듀,0,460,366,False,False,False,False,quUwI5cTg5CqUr-yPV5eVE_mscUBIErX72Xyed3i_KYvSXM
1574,MASTER,avxSklCTq50qP3vIx61rGEbiI3R05wN7QEU2TSeJjzNMzdTN,Sherry God,0,324,255,False,False,True,True,zpa-nFIb0PYh0OKlpiD413Hv5GPrLXgpsGvCVLfKeae3PP-jQ_wcPcSs
1575,MASTER,M1L8ObT7oXMhH1PgHIPC_X6QeNSxUiXH_UYPFZoOU2lS6A,겐 쥰,0,333,243,False,False,True,True,_sa24lFMbpDmK_WNzJGAaCMR4MWloIzlpTLwCs7DqEM
1576,MASTER,S9TPOhEy38XaAtkfYNNKEN8q8JhvSggKJ9BqhQrk8WdLsKw,하나의 풍경,7,151,159,False,False,True,False,eGXDlHl3FBE0Zt2kFHbBxdMlNcTVvAF_9vmaVW1nTk9fywg
1577,MASTER,sied3ZjkSLpUb2Nu0kP9B7GuaQxN-Yca4B0u_QzDMz2cYMs,정글 jg,0,490,423,False,False,False,False,oMs5cFgyt9OSOn2-TMCO2lGsDjZijv4Cx1Wvx_OL7wFDisfn3LTUo_qQ
1578,MASTER,4ey6OvJSW5vGcTnnv3hZzSzb092ZSsvVEEpwn6ydHvNFE-c,3xingkasha,156,287,254,False,False,False,False,aL6BHDNL3vOAjNlR9EkmoNE0JPSjIJJo2CDuXxlfOrbSV0s
1579,MASTER,eserpBaANSKwDOYopqgTpKN6bZYEVvsOqvAbLcxmZGneXNU,닉변하면 팀운이,18,431,407,False,False,False,False,mUOm0ULireI9IMM89SBSMlUEwzmlF_s9tXxkiZW8v2vP5Sw
1580,MASTER,xtIEnrUcfuwNTDDWtNnJMgf7_g-o5HS24OzKJ6IFJQP_PZaT,Svvord,40,242,183,False,False,True,False,J_BYMGdcB0oskDpOnfJwvovpy6xVAFncpXjxJKu-Rf8HJW-lx3h0xuqa
1581,MASTER,R2xZ37l_Vn_jeJtArPv22tBfxyfBXsEgXddPoXwmlWa-8js,찍어눌러찢어발겨,0,255,207,False,False,True,True,9U2Urcm2Oy-ndWOHMPTeXgccU0K8DsVG4zCC6LvVOY4_rKtT0uqbwPyi
