,Champion,Blue W_R,Red W_R,AFK rate
120,Diana,0.5197,0.5138,0.0055553556587142556
121,Tristana,0.5446,0.5505,0.006570474200817487
122,Senna,0.4822,0.488,0.004846525478501208
123,Fiddlesticks,0.507,0.5127,0.005096575768079824
124,Leona,0.5047,0.5101,0.0036602150573821356
125,Lee Sin,0.4681,0.4735,0.007272362598015735
126,Alistar,0.5462,0.5409,0.004488407597956642
127,Darius,0.5127,0.5079,0.007521327836821018
128,Maokai,0.5233,0.5274,0.004373249811771115
129,Kai'Sa,0.4891,0.4932,0.005380670431472551
130,Ziggs,0.4627,0.4667,0.00479134155967202
131,Master Yi,0.459,0.4629,0.007902823455499931
132,Jax,0.481,0.4847,0.007126314879122587
133,Zoe,0.5317,0.5353,0.005078764305067935
134,LeBlanc,0.5077,0.5113,0.0054446458824093215
135,Lux,0.4497,0.4532,0.004728536125655455
136,Tryndamere,0.5109,0.5142,0.007822727889311102
137,Gragas,0.5174,0.5141,0.005363841336317434
138,Yone,0.4722,0.4752,0.006658206969738951
139,Ornn,0.4736,0.4763,0.004956321486698487
140,Vi,0.5598,0.5573,0.004715158110594515
141,Kindred,0.4906,0.4928,0.0069291998244898675
142,Sylas,0.4821,0.4842,0.006323497007251222
143,Volibear,0.4644,0.4665,0.006192150700355638
144,Shaco,0.522,0.5203,0.005983112239149984
145,Yorick,0.5244,0.5231,0.0055081611131432475
146,Olaf,0.5177,0.5188,0.007987237548725634
147,Vel'Koz,0.4949,0.4952,0.004564908555422272
148,Akali,0.4585,0.4588,0.007138926410576408
149,Sivir,0.4943,0.4945,0.004128834219172164
150,Kayn,0.4987,0.4986,0.006445024061191609
151,Soraka,0.5087,0.5087,0.004116555072243123
