,blue_WR,red_WR,more_50_WR,champ_role,number,name
34,0.4977,0.4921,0.5491,3.0,150,나르
146,0.5258,0.5143,0.5649,6.0,154,자크
142,0.4932,0.4896,0.5243,3.0,157,야스오
132,0.5218,0.4942,0.5347,2.0,161,벨코즈
117,0.4788,0.4855,0.5556,2.0,163,탈리야
16,0.5156,0.5138,0.5489999999999999,3.0,164,카밀
14,0.4983,0.5201,0.503,4.0,201,브라움
46,0.5234,0.5166,0.5489,7.0,202,진
58,0.4746,0.4707,0.5201,7.0,203,킨드레드
47,0.5021,0.5021,0.5574,7.0,222,징크스
116,0.4728,0.4639,0.5579999999999999,4.0,223,탐 켄치
101,0.4786,0.4838,0.5223,7.0,235,세나
66,0.4737,0.4775,0.5104,7.0,236,루시안
147,0.5131,0.5022,0.5481,1.0,238,제드
59,0.53,0.5527,0.5719,3.0,240,클레드
24,0.5184,0.5088,0.5681,1.0,245,에코
89,0.4841,0.4877,0.5168,1.0,246,키아나
133,0.5211,0.5616,0.5763,3.0,254,바이
0,0.5135,0.4956,0.5558,3.0,266,아트록스
76,0.4843,0.4885,0.5081,4.0,267,나미
10,0.4731,0.5076,0.5133,2.0,268,아지르
145,0.4813,0.4864,0.5085,4.0,350,유미
99,0.5242,0.5374,0.5714,7.0,360,사미라
121,0.5105,0.5027,0.508,4.0,412,쓰레쉬
39,0.4892,0.4694,0.512,3.0,420,일라오이
93,0.5418,0.5225,0.5969,3.0,421,렉사이
41,0.5037,0.4551,0.5211,4.0,427,아이번
49,0.461,0.4739,0.4843,7.0,429,칼리스타
11,0.5206,0.521,0.5516,4.0,432,바드
91,0.5246,0.5228,0.5456,4.0,497,라칸
139,0.4835,0.4819,0.5431,7.0,498,자야
85,0.5045,0.5038,0.5856,6.0,516,오른
114,0.48100000000000004,0.4771,0.524,2.0,517,사일러스
79,0.5134,0.5473,0.5193,2.0,518,니코
7,0.4525,0.4598,0.4941,7.0,523,아펠리오스
88,0.4969,0.4976,0.5334,4.0,555,파이크
143,0.4774,0.4671,0.5395,1.0,777,요네
103,0.4819,0.4682,0.5411,3.0,875,세트
64,0.4883,0.4814,0.5459,3.0,876,릴리아
