,gameId,teamId,champ_WR_dif,user_champ_WR,top_tier,jug_tier,mid_tier,carry_tier,support_tier,c_top_tier,c_jug_tier,c_mid_tier,c_carry_tier,c_support_tier,slayer,tank,fighter,mage,marksman,controller,c_slayer,c_tank,c_fighter,c_mage,c_marksman,c_controller,match_cnt,win
0,4728960337,100,0.011519999999999985,59.8,5.0,3.0,5.0,2.0,1.0,5.0,3.0,3.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,102.6,True
0,4729052263,100,-0.007680000000000009,53.6,6.0,1.0,2.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,94.6,False
0,4729077713,100,-0.0037600000000000077,61.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,74.6,True
0,4729100920,100,-0.002759999999999996,63.8,3.0,2.0,3.0,3.0,1.0,2.0,6.0,6.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,51.6,True
0,4729306226,200,0.009459999999999979,62.6,2.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,149.4,True
0,4729419212,100,-0.004400000000000015,58.2,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,379.4,False
0,4729424633,100,0.017120000000000014,57.4,2.0,3.0,3.0,1.0,2.0,2.0,3.0,6.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,80.6,True
0,4729453195,200,-0.0013600000000000168,51.8,3.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,6.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,10.4,True
0,4729494719,100,-0.01693999999999999,23.8,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,18.2,False
0,4729520257,200,0.0017799999999999927,48.4,1.0,3.0,4.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,77.0,False
0,4729522592,200,0.008819999999999962,52.2,6.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,255.8,True
0,4729587792,100,-0.006340000000000045,49.6,1.0,3.0,4.0,2.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,117.0,True
0,4729587972,100,-0.00454,53.8,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,99.8,False
0,4729714974,200,0.009180000000000011,50.4,6.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,213.4,True
0,4729718608,100,-0.014019999999999954,47.4,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,56.2,False
0,4729723755,100,-0.008319999999999984,40.6,2.0,3.0,6.0,3.0,6.0,3.0,5.0,6.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,27.0,True
0,4729743849,200,0.012139999999999984,54.4,6.0,6.0,6.0,3.0,1.0,3.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,194.0,False
0,4729744723,200,-0.004999999999999993,53.2,4.0,2.0,2.0,1.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,203.2,False
0,4729763258,100,0.008179999999999998,53.2,2.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,136.8,False
0,4729807369,100,0.005659999999999987,59.8,3.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,61.2,False
0,4729949710,100,0.012799999999999968,66.2,2.0,3.0,4.0,1.0,5.0,5.0,3.0,6.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,9.6,True
0,4729968380,200,-0.0046799999999999845,49.4,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,71.2,False
0,4730009833,200,-0.017939999999999977,58.4,1.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,307.4,True
0,4730040316,200,0.003679999999999983,30.8,1.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,35.4,False
0,4730063755,100,-0.023420000000000017,57.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,294.6,False
0,4730079233,200,-0.009139999999999981,56.2,3.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,42.2,True
0,4730103848,200,0.011619999999999997,25.4,5.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,4.8,False
0,4730157795,100,0.00534,55.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,115.6,False
0,4730159703,100,0.021420000000000005,47.4,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,127.8,False
0,4730354841,100,-0.003059999999999996,47.0,2.0,3.0,4.0,3.0,1.0,5.0,2.0,6.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,86.2,True
